VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2017-01-09 11:13:28,2017-01-09 11:25:45,1,3.30,1,N,263,161,1,12.5,0,0.5,2,0,0.3,15.3
1,2017-01-09 11:32:27,2017-01-09 11:36:01,1,.90,1,N,186,234,1,5,0,0.5,1.45,0,0.3,7.25
1,2017-01-09 11:38:20,2017-01-09 11:42:05,1,1.10,1,N,164,161,1,5.5,0,0.5,1,0,0.3,7.3
1,2017-01-09 11:52:13,2017-01-09 11:57:36,1,1.10,1,N,236,75,1,6,0,0.5,1.7,0,0.3,8.5
2,2017-01-01 00:00:00,2017-01-01 00:00:00,1,.02,2,N,249,234,2,52,0,0.5,0,0,0.3,52.8
1,2017-01-01 00:00:02,2017-01-01 00:03:50,1,.50,1,N,48,48,2,4,0.5,0.5,0,0,0.3,5.3
2,2017-01-01 00:00:02,2017-01-01 00:39:22,4,7.75,1,N,186,36,1,22,0.5,0.5,4.66,0,0.3,27.96
1,2017-01-01 00:00:03,2017-01-01 00:06:58,1,.80,1,N,162,161,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2017-01-01 00:00:05,2017-01-01 00:08:33,2,.90,1,N,48,50,1,7,0.5,0.5,0,0,0.3,8.3
2,2017-01-01 00:00:05,2017-01-01 00:05:04,5,1.76,1,N,140,74,2,7,0.5,0.5,0,0,0.3,8.3
2,2017-01-01 00:00:05,2017-01-01 00:15:36,1,8.47,1,N,138,262,1,24,0.5,0.5,7.71,5.54,0.3,38.55
1,2017-01-01 00:00:06,2017-01-01 00:11:56,2,2.40,1,N,142,236,2,10.5,0.5,0.5,0,0,0.3,11.8
1,2017-01-01 00:00:06,2017-01-01 00:23:37,2,12.60,5,N,161,265,1,60,0,0,10,0,0.3,70.3
1,2017-01-01 00:00:06,2017-01-01 00:08:53,1,.90,1,N,234,186,1,7,0.5,0.5,2.05,0,0.3,10.35
2,2017-01-01 00:00:06,2017-01-01 00:09:30,4,2.43,1,N,141,107,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,2017-01-01 00:00:06,2017-01-01 00:16:05,2,2.60,1,N,79,163,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2017-01-01 00:00:06,2017-01-01 00:18:12,5,4.25,1,N,148,36,2,16.5,0.5,0.5,0,0,0.3,17.8
2,2017-01-01 00:00:07,2017-01-01 00:07:42,1,.65,1,N,48,68,1,6.5,0.5,0.5,1.7,0,0.3,9.5
2,2017-01-01 00:00:09,2017-01-01 00:34:21,1,3.42,1,N,230,148,1,22.5,0.5,0.5,0,0,0.3,23.8
1,2017-01-01 00:00:10,2017-01-01 00:24:52,1,6.60,1,N,186,232,2,23,0.5,0.5,0,0,0.3,24.3
1,2017-01-01 00:00:10,2017-01-01 00:02:49,1,.50,1,N,36,37,2,4,0.5,0.5,0,0,0.3,5.3
1,2017-01-01 00:00:11,2017-01-01 00:08:27,1,1.20,1,N,41,74,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2017-01-01 00:00:12,2017-01-01 00:12:53,1,1.70,1,N,125,45,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2017-01-01 00:00:12,2017-01-01 00:09:48,1,5.30,1,N,138,192,2,16,0.5,0.5,0,0,0.3,17.3
1,2017-01-01 00:00:13,2017-01-01 00:01:04,2,.20,1,N,143,143,2,3,0.5,0.5,0,0,0.3,4.3
2,2017-01-01 00:00:13,2017-01-01 00:15:39,1,4.68,1,N,140,223,1,16.5,0.5,0.5,4.45,0,0.3,22.25
2,2017-01-01 00:00:13,2017-01-01 00:12:42,1,1.90,1,N,68,48,1,10,0.5,0.5,0,0,0.3,11.3
2,2017-01-01 00:00:14,2017-01-01 00:24:53,2,2.10,1,N,239,48,2,16,0.5,0.5,0,0,0.3,17.3
2,2017-01-01 00:00:15,2017-01-01 00:13:34,1,2.75,1,N,233,114,1,11.5,0.5,0.5,2,0,0.3,14.8
2,2017-01-01 00:00:15,2017-01-01 00:00:17,1,.00,5,N,14,14,1,32.8,0,0.5,0,0,0.3,33.6
2,2017-01-01 00:00:16,2017-01-01 00:10:11,5,1.53,1,N,239,48,2,6,0.5,0.5,0,0,0.3,7.3
2,2017-01-01 00:00:16,2017-01-01 00:16:16,1,1.26,1,N,164,161,1,10.5,0.5,0.5,2.36,0,0.3,14.16
1,2017-01-01 00:00:17,2017-01-01 00:07:45,1,1.00,1,N,256,255,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-01-01 00:00:17,2017-01-01 00:19:40,2,13.97,1,N,138,181,1,37.5,0.5,0.5,11.64,0,0.3,50.44
1,2017-01-01 00:00:18,2017-01-01 00:04:57,1,.70,1,N,237,43,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2017-01-01 00:00:18,2017-01-01 00:04:17,1,.40,1,N,158,68,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2017-01-01 00:00:18,2017-01-01 00:20:59,4,1.85,1,N,229,68,2,13,0.5,0.5,0,0,0.3,14.3
2,2017-01-01 00:00:18,2017-01-01 00:08:23,1,4.29,1,N,132,10,2,13.5,0.5,0.5,0,0,0.3,14.8
1,2017-01-01 00:00:19,2017-01-01 00:09:53,1,4.40,1,N,170,87,1,14.5,0.5,0.5,3.15,0,0.3,18.95
1,2017-01-01 00:00:19,2017-01-01 00:01:21,1,.10,1,N,243,243,2,3,0.5,0.5,0,0,0.3,4.3
2,2017-01-01 00:00:19,2017-01-01 00:03:59,1,.24,1,N,161,161,1,4,0.5,0.5,1.06,0,0.3,6.36
2,2017-01-01 00:00:19,2017-01-01 00:03:15,1,.92,1,N,50,246,1,4.5,0.5,0.5,1.45,0,0.3,7.25
1,2017-01-01 00:00:20,2017-01-01 00:18:51,1,1.10,1,N,237,161,2,12,0.5,0.5,0,0,0.3,13.3
1,2017-01-01 00:00:21,2017-01-01 00:12:09,1,6.90,1,N,138,80,2,20,0.5,0.5,0,0,0.3,21.3
2,2017-01-01 00:00:22,2017-01-01 00:04:56,5,.60,1,N,238,238,2,5,0.5,0.5,0,0,0.3,6.3
2,2017-01-01 00:00:22,2017-01-01 00:03:15,3,.56,1,N,74,75,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2017-01-01 00:00:23,2017-01-01 00:06:06,1,.90,1,N,113,249,1,6,0.5,0.5,2.15,0,0.3,9.45
2,2017-01-01 00:00:24,2017-01-01 00:35:26,1,2.88,1,N,163,113,1,21.5,0.5,0.5,4.56,0,0.3,27.36
1,2017-01-01 00:00:26,2017-01-01 00:24:32,2,3.90,1,N,129,179,2,19.5,0.5,0.5,0,0,0.3,20.8
2,2017-01-01 00:00:26,2017-01-01 00:09:26,1,1.70,1,N,41,75,1,8.5,0.5,0.5,2.45,0,0.3,12.25
1,2017-01-01 00:00:27,2017-01-01 00:06:38,3,.70,1,N,229,161,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2017-01-01 00:00:29,2017-01-01 00:03:57,4,.90,1,N,236,236,2,5,0.5,0.5,0,0,0.3,6.3
2,2017-01-01 00:00:30,2017-01-01 00:06:17,1,.79,1,N,163,237,1,6,0.5,0.5,1.82,0,0.3,9.12
2,2017-01-01 00:00:30,2017-01-01 00:08:34,1,1.25,1,N,234,162,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2017-01-01 00:00:31,2017-01-01 00:08:21,5,2.05,1,N,113,233,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2017-01-01 00:00:31,2017-01-01 00:12:28,1,2.56,1,N,113,229,1,10.5,0.5,0.5,8.2,0,0.3,20
2,2017-01-01 00:00:31,2017-01-01 00:11:48,1,.10,1,N,264,264,2,8,0.5,0.5,0,0,0.3,9.3
2,2017-01-01 00:00:31,2017-01-01 00:08:47,1,1.78,1,N,113,231,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2017-01-01 00:00:33,2017-01-01 00:31:58,2,10.50,1,N,138,230,2,35.5,0.5,0.5,0,5.54,0.3,42.34
1,2017-01-01 00:00:33,2017-01-01 00:05:41,1,.90,1,N,148,4,1,6,0.5,0.5,1.45,0,0.3,8.75
2,2017-01-01 00:00:33,2017-01-01 00:09:52,1,1.97,1,N,74,168,2,9,0.5,0.5,0,0,0.3,10.3
2,2017-01-01 00:00:33,2017-01-01 00:42:43,6,20.99,2,N,132,249,2,52,0,0.5,0,0,0.3,52.8
1,2017-01-01 00:00:34,2017-01-01 00:02:33,1,.00,1,N,249,249,3,3,0.5,0.5,0,0,0.3,4.3
2,2017-01-01 00:00:35,2017-01-01 00:06:10,2,.66,1,N,79,79,1,5.5,0.5,0.5,1.36,0,0.3,8.16
1,2017-01-01 00:00:36,2017-01-01 00:12:55,1,3.60,1,N,263,7,2,13,0.5,0.5,0,0,0.3,14.3
2,2017-01-01 00:00:36,2017-01-01 00:12:42,6,4.02,1,N,41,235,1,14,0.5,0.5,3.06,0,0.3,18.36
2,2017-01-01 00:00:36,2017-01-01 00:07:51,2,2.66,1,N,148,233,1,10,0.5,0.5,2.26,0,0.3,13.56
1,2017-01-01 00:00:37,2017-01-01 00:19:46,1,11.40,1,N,138,181,2,31.5,0.5,0.5,0,0,0.3,32.8
2,2017-01-01 00:00:37,2017-01-01 00:15:48,1,6.59,1,N,143,42,2,20,0.5,0.5,0,0,0.3,21.3
2,2017-01-01 00:00:37,2017-01-01 00:20:15,1,2.82,1,N,144,170,2,14,0.5,0.5,0,0,0.3,15.3
2,2017-01-01 00:00:43,2017-01-01 00:07:43,1,1.09,1,N,129,129,2,7,0.5,0.5,0,0,0.3,8.3
2,2017-01-01 00:00:44,2017-01-01 00:01:50,2,.41,1,N,239,238,1,3.5,0.5,0.5,0.72,0,0.3,5.52
1,2017-01-01 00:00:45,2017-01-01 00:13:33,2,2.10,1,Y,45,137,3,10.5,0.5,0.5,0,0,0.3,11.8
1,2017-01-01 00:00:47,2017-01-01 00:03:13,1,2.20,1,N,137,137,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2017-01-01 00:00:48,2017-01-01 00:43:38,1,20.30,1,N,132,61,1,58,0.5,0.5,5,0,0.3,64.3
1,2017-01-01 00:00:48,2017-01-01 00:12:22,1,2.80,1,N,239,229,1,11.5,0.5,0.5,1,0,0.3,13.8
2,2017-01-01 00:00:48,2017-01-01 00:08:48,3,1.96,1,N,249,88,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2017-01-01 00:00:50,2017-01-01 00:01:31,1,.00,1,N,138,138,3,2.5,0.5,0.5,0,0,0.3,3.8
1,2017-01-01 00:00:51,2017-01-01 00:11:22,1,4.80,1,N,162,45,1,15.5,0.5,0.5,3.35,0,0.3,20.15
2,2017-01-01 00:00:51,2017-01-01 00:13:56,2,4.69,1,N,262,90,2,16,0.5,0.5,0,0,0.3,17.3
2,2017-01-01 00:00:51,2017-01-01 00:05:21,5,.60,1,N,170,233,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2017-01-01 00:00:52,2017-01-01 00:04:17,5,.93,1,N,239,142,1,4.5,0.5,0.5,15,0,0.3,20.8
2,2017-01-01 00:00:53,2017-01-01 00:14:50,2,8.60,1,N,148,7,2,25,0.5,0.5,0,0,0.3,26.3
2,2017-01-01 00:00:54,2017-01-01 00:07:48,5,1.17,1,N,158,90,1,6.5,0.5,0.5,2.34,0,0.3,10.14
2,2017-01-01 00:00:55,2017-01-01 00:14:52,2,4.41,1,N,233,74,1,14.5,0.5,0.5,2,0,0.3,17.8
1,2017-01-01 00:00:56,2017-01-01 00:05:49,1,.90,1,N,106,106,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-01-01 00:00:56,2017-01-01 00:17:36,2,3.00,1,N,231,107,1,14,0.5,0.5,2,0,0.3,17.3
1,2017-01-01 00:00:58,2017-01-01 00:10:47,1,1.20,1,N,113,137,2,8,0.5,0.5,0,0,0.3,9.3
1,2017-01-01 00:00:59,2017-01-01 00:14:40,1,1.20,1,N,246,186,1,9.5,0.5,0.5,3.2,0,0.3,14
1,2017-01-01 00:00:59,2017-01-01 00:21:46,1,5.90,1,N,162,129,1,20.5,0.5,0.5,4.35,0,0.3,26.15
1,2017-01-01 00:00:59,2017-01-01 00:05:10,2,.50,1,N,264,264,1,5,0.5,0.5,1.25,0,0.3,7.55
2,2017-01-01 00:00:59,2017-01-01 00:23:32,1,6.58,1,N,186,152,1,23.5,0.5,0.5,7.44,0,0.3,32.24
1,2017-01-01 00:01:00,2017-01-01 00:17:57,1,3.70,1,N,50,79,1,14,0.5,0.5,3.05,0,0.3,18.35
2,2017-01-01 00:01:00,2017-01-01 00:23:03,1,5.91,1,N,125,37,1,21,0.5,0.5,4.46,0,0.3,26.76
1,2017-01-01 00:01:02,2017-01-01 00:09:15,1,1.20,1,N,152,42,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2017-01-01 00:01:02,2017-01-01 00:05:22,2,1.20,1,N,137,162,1,6,0.5,0.5,1,0,0.3,8.3
1,2017-01-01 00:01:03,2017-01-01 00:16:44,2,7.40,1,N,132,130,2,22.5,0.5,0.5,0,0,0.3,23.8
2,2017-01-01 00:01:04,2017-01-01 00:08:01,6,.87,1,N,107,107,1,6,0.5,0.5,5,0,0.3,12.3
2,2017-01-01 00:01:04,2017-01-01 00:13:34,1,5.77,1,N,162,88,2,18,0.5,0.5,0,0,0.3,19.3
2,2017-01-01 00:01:04,2017-01-01 00:18:43,5,4.36,1,N,162,151,2,16.5,0.5,0.5,0,0,0.3,17.8
2,2017-01-01 00:01:05,2017-01-01 00:09:04,3,.90,1,N,137,170,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2017-01-01 00:01:06,2017-01-01 00:25:44,1,5.67,1,N,234,41,2,21,0.5,0.5,0,0,0.3,22.3
2,2017-01-01 00:01:06,2017-01-01 00:16:38,5,3.18,1,N,142,158,1,13.5,0.5,0.5,4.44,0,0.3,19.24
1,2017-01-01 00:01:07,2017-01-01 00:29:45,1,7.90,1,N,87,238,1,27.5,0.5,0.5,1.2,0,0.3,30
1,2017-01-01 00:01:08,2017-01-01 00:05:35,2,.80,1,N,137,233,1,5.5,0.5,0.5,2,0,0.3,8.8
2,2017-01-01 00:01:08,2017-01-01 00:06:15,2,1.04,1,N,186,234,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2017-01-01 00:01:09,2017-01-01 00:04:53,1,.70,1,N,43,142,2,5,0.5,0.5,0,0,0.3,6.3
2,2017-01-01 00:01:09,2017-01-01 00:44:43,1,2.36,1,N,186,48,2,25,0.5,0.5,0,0,0.3,26.3
2,2017-01-01 00:01:09,2017-01-01 00:12:06,1,4.20,1,N,236,226,2,13.5,0.5,0.5,0,0,0.3,14.8
1,2017-01-01 00:01:10,2017-01-01 00:06:32,1,1.00,1,N,116,244,2,6,0.5,0.5,0,0,0.3,7.3
2,2017-01-01 00:01:10,2017-01-01 00:10:40,1,1.48,1,N,229,170,1,8.5,0.5,0.5,2.94,0,0.3,12.74
2,2017-01-01 00:01:10,2017-01-01 00:22:40,1,10.47,1,N,138,142,1,30,0.5,0.5,9.21,5.54,0.3,46.05
2,2017-01-01 00:01:11,2017-01-01 00:08:55,1,1.04,1,N,238,151,1,6.5,0.5,0.5,2.34,0,0.3,10.14
2,2017-01-01 00:01:11,2017-01-01 00:24:56,3,4.13,1,N,158,87,2,18.5,0.5,0.5,0,0,0.3,19.8
1,2017-01-01 00:01:12,2017-01-01 00:20:32,1,2.90,1,N,162,158,1,13.5,0.5,0.5,2.95,0,0.3,17.75
2,2017-01-01 00:01:12,2017-01-01 00:09:13,5,3.40,1,N,192,173,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2017-01-01 00:01:13,2017-01-01 00:05:09,1,.60,1,N,79,232,1,4.5,0.5,0.5,1.7,0,0.3,7.5
1,2017-01-01 00:01:14,2017-01-01 00:30:23,1,12.40,1,N,132,49,1,37,0.5,0.5,7.65,0,0.3,45.95
1,2017-01-01 00:01:17,2017-01-01 00:05:49,2,.90,1,N,114,68,1,5,0.5,0.5,1.25,0,0.3,7.55
1,2017-01-01 00:01:18,2017-01-01 00:05:23,1,.70,1,N,234,113,1,5,0.5,0.5,1.55,0,0.3,7.85
2,2017-01-01 00:01:20,2017-01-01 00:15:31,1,4.20,1,N,79,146,1,15,0.5,0.5,3.26,0,0.3,19.56
1,2017-01-01 00:01:21,2017-01-01 00:06:47,2,.90,1,N,90,79,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-01-01 00:01:21,2017-01-01 00:13:02,1,1.20,1,N,170,100,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2017-01-01 00:01:21,2017-01-01 00:14:17,1,2.00,1,N,143,68,2,10.5,0.5,0.5,0,0,0.3,11.8
1,2017-01-01 00:01:22,2017-01-01 00:34:06,1,6.10,1,N,246,256,1,24.5,0.5,0.5,5.15,0,0.3,30.95
1,2017-01-01 00:01:22,2017-01-01 00:22:02,3,5.10,1,N,88,189,2,19,0.5,0.5,0,0,0.3,20.3
2,2017-01-01 00:01:22,2017-01-01 00:06:30,1,.78,1,N,264,264,1,5.5,0.5,0.5,0,0,0.3,6.8
1,2017-01-01 00:01:24,2017-01-01 00:09:18,1,1.00,1,N,209,209,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2017-01-01 00:01:24,2017-01-01 00:15:01,1,7.47,1,N,88,236,1,21.5,0.5,0.5,5.7,0,0.3,28.5
1,2017-01-01 00:01:25,2017-01-01 00:15:09,1,2.80,1,N,246,114,2,12,0.5,0.5,0,0,0.3,13.3
2,2017-01-01 00:01:25,2017-01-01 00:38:39,2,19.68,1,N,132,112,1,55.5,0.5,0.5,0,0,0.3,56.8
1,2017-01-01 00:01:26,2017-01-01 00:21:03,1,7.00,1,N,68,116,1,22.5,0.5,0.5,23.8,0,0.3,47.6
2,2017-01-01 00:01:26,2017-01-01 00:04:52,1,.76,1,N,239,239,1,4.5,0.5,0.5,1.5,0,0.3,7.3
2,2017-01-01 00:01:26,2017-01-01 00:06:48,1,.96,1,N,142,239,1,6,0.5,0.5,1.82,0,0.3,9.12
1,2017-01-01 00:01:27,2017-01-01 00:15:08,1,3.50,1,N,25,61,1,13.5,0.5,0.5,2.95,0,0.3,17.75
2,2017-01-01 00:01:27,2017-01-01 00:08:54,1,1.14,1,N,144,148,1,7,0.5,0.5,2.08,0,0.3,10.38
1,2017-01-01 00:01:28,2017-01-01 00:09:53,1,.70,1,N,244,244,2,7,0.5,0.5,0,0,0.3,8.3
1,2017-01-01 00:01:29,2017-01-01 00:20:25,2,13.80,1,N,264,264,1,37.5,0.5,0.5,9.7,0,0.3,48.5
1,2017-01-01 00:01:29,2017-01-01 00:04:56,1,1.00,1,N,236,238,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2017-01-01 00:01:29,2017-01-01 00:12:57,2,6.20,1,N,148,75,1,19,0.5,0.5,4.05,0,0.3,24.35
1,2017-01-01 00:01:29,2017-01-01 00:26:18,1,5.40,1,N,90,238,1,22,0.5,0.5,4.65,0,0.3,27.95
2,2017-01-01 00:01:29,2017-01-01 00:06:17,1,1.47,1,N,229,263,1,6.5,0.5,0.5,0.2,0,0.3,8
2,2017-01-01 00:01:30,2017-01-01 00:29:05,1,18.83,2,N,132,41,1,52,0,0.5,8.75,5.54,0.3,67.09
2,2017-01-01 00:01:30,2017-01-01 00:11:20,5,1.53,1,N,141,161,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2017-01-01 00:01:30,2017-01-01 00:15:21,2,2.34,1,N,231,234,2,11,0.5,0.5,0,0,0.3,12.3
2,2017-01-01 00:01:31,2017-01-01 00:05:40,2,1.04,1,N,238,166,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2017-01-01 00:01:33,2017-01-01 00:12:08,1,2.10,1,N,141,142,1,9.5,0.5,0.5,2,0,0.3,12.8
2,2017-01-01 00:01:33,2017-01-01 00:18:03,4,2.09,1,N,107,249,1,12,0.5,0.5,2.66,0,0.3,15.96
1,2017-01-01 00:01:34,2017-01-01 00:09:49,2,1.30,1,N,264,264,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2017-01-01 00:01:35,2017-01-01 00:05:02,1,1.00,1,N,107,233,1,5,0.5,0.5,1.25,0,0.3,7.55
1,2017-01-01 00:01:35,2017-01-01 00:07:36,1,.90,1,N,163,239,1,6,0.5,0.5,2.15,0,0.3,9.45
2,2017-01-01 00:01:35,2017-01-01 00:08:07,1,.81,1,N,211,114,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2017-01-01 00:01:35,2017-01-01 00:06:03,1,.69,1,N,249,114,2,5,0.5,0.5,0,0,0.3,6.3
1,2017-01-01 00:01:38,2017-01-01 00:29:34,2,18.70,2,N,132,262,1,52,0,0.5,10,5.54,0.3,68.34
2,2017-01-01 00:01:38,2017-01-01 00:05:15,1,.64,1,N,143,50,1,4.5,0.5,0.5,2.2,0,0.3,8
1,2017-01-01 00:01:39,2017-01-01 00:01:59,2,.00,5,N,49,49,1,48.8,0,0,9.8,0,0.3,58.9
2,2017-01-01 00:01:40,2017-01-01 00:21:36,1,4.66,1,N,161,41,2,17,0.5,0.5,0,0,0.3,18.3
2,2017-01-01 00:01:40,2017-01-01 00:07:49,6,1.18,1,N,234,170,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-01-01 00:01:42,2017-01-01 00:23:00,1,12.30,1,N,138,33,1,34,0.5,0.5,7.05,0,0.3,42.35
1,2017-01-01 00:01:42,2017-01-01 00:09:54,1,2.20,1,N,264,264,1,9,0.5,0.5,2.05,0,0.3,12.35
2,2017-01-01 00:01:42,2017-01-01 00:08:19,2,1.35,1,N,234,114,2,7,0.5,0.5,0,0,0.3,8.3
1,2017-01-01 00:01:43,2017-01-01 00:03:26,1,.50,1,N,74,75,2,4,0.5,0.5,0,0,0.3,5.3
1,2017-01-01 00:01:43,2017-01-01 00:10:55,1,1.30,1,N,164,246,1,7.5,0.5,0.5,1.75,0,0.3,10.55
2,2017-01-01 00:01:44,2017-01-01 00:20:54,2,3.49,1,N,100,144,1,15,0.5,0.5,0,0,0.3,16.3
2,2017-01-01 00:01:45,2017-01-01 00:19:14,2,15.34,2,N,132,170,1,52,0,0.5,0,5.54,0.3,58.34
2,2017-01-01 00:01:45,2017-01-01 00:58:14,1,8.34,1,N,186,225,2,36.5,0.5,0.5,0,0,0.3,37.8
2,2017-01-01 00:01:49,2017-01-01 00:13:20,1,1.93,1,N,137,249,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,2017-01-01 00:01:49,2017-01-01 00:30:33,1,8.87,1,N,79,82,1,29,0.5,0.5,0,0,0.3,30.3
1,2017-01-01 00:01:50,2017-01-01 00:21:44,1,8.40,1,N,264,264,2,25.5,0.5,0.5,0,5.54,0.3,32.34
1,2017-01-01 00:01:50,2017-01-01 00:23:02,1,1.10,1,N,161,186,2,13,0.5,0.5,0,0,0.3,14.3
1,2017-01-01 00:01:52,2017-01-01 00:05:28,2,.60,1,Y,143,142,1,4.5,0.5,0.5,0.5,0,0.3,6.3
2,2017-01-01 00:01:52,2017-01-01 00:05:11,1,.56,1,N,114,79,1,4.5,0.5,0.5,0,0,0.3,5.8
2,2017-01-01 00:01:52,2017-01-01 00:09:28,5,2.54,1,N,162,146,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2017-01-01 00:01:53,2017-01-01 00:02:18,1,2.50,1,N,148,148,2,2.5,0.5,0.5,0,0,0.3,3.8
2,2017-01-01 00:01:53,2017-01-01 00:31:01,6,7.51,1,N,137,160,1,25.5,0.5,0.5,8.04,0,0.3,34.84
2,2017-01-01 00:01:53,2017-01-01 00:26:28,1,12.01,1,N,236,242,2,34.5,0.5,0.5,0,0,0.3,35.8
1,2017-01-01 06:53:19,2017-01-01 06:59:50,1,1.60,1,N,162,186,1,7.5,0,0.5,1.65,0,0.3,9.95
2,2017-01-01 06:53:19,2017-01-01 07:02:24,1,1.73,1,N,181,25,2,9,0,0.5,0,0,0.3,9.8
2,2017-01-01 06:53:20,2017-01-01 07:07:53,1,3.55,1,N,113,141,2,13.5,0,0.5,0,0,0.3,14.3
2,2017-01-01 06:53:20,2017-01-01 07:01:09,2,1.27,1,N,232,211,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-01-01 06:53:21,2017-01-01 06:59:46,1,1.89,1,N,7,260,1,8.5,0,0.5,1.86,0,0.3,11.16
2,2017-01-01 06:53:22,2017-01-01 07:07:57,2,7.14,1,N,258,191,2,21.5,0,0.5,0,0,0.3,22.3
1,2017-01-01 06:53:23,2017-01-01 07:09:29,1,5.40,1,N,107,112,1,18,0,0.5,3.75,0,0.3,22.55
2,2017-01-01 06:53:23,2017-01-01 07:09:47,3,8.07,1,N,226,231,1,24.5,0,0.5,5.06,0,0.3,30.36
2,2017-01-01 06:53:23,2017-01-01 06:53:28,2,.00,5,N,264,42,1,65,0,0.5,0,0,0,65.5
1,2017-01-01 06:53:24,2017-01-01 06:56:12,1,.80,1,N,107,113,1,4.5,0,0.5,1.05,0,0.3,6.35
2,2017-01-01 06:53:25,2017-01-01 06:58:54,1,1.64,1,N,152,24,1,7.5,0,0.5,1.66,0,0.3,9.96
2,2017-01-01 06:53:25,2017-01-01 07:04:41,2,3.21,1,N,164,230,2,11.5,0,0.5,0,0,0.3,12.3
2,2017-01-01 06:53:26,2017-01-01 07:01:00,1,1.18,1,N,152,116,2,7,0,0.5,0,0,0.3,7.8
2,2017-01-01 06:53:26,2017-01-01 07:34:38,6,17.98,2,N,230,132,2,52,0,0.5,0,0,0.3,52.8
2,2017-01-01 06:53:26,2017-01-01 06:53:37,0,.00,5,N,48,48,1,5.5,0,0.5,1.26,0,0.3,7.56
2,2017-01-01 06:53:27,2017-01-01 06:59:24,6,1.45,1,N,249,164,1,7,0,0.5,1.56,0,0.3,9.36
2,2017-01-01 06:53:28,2017-01-01 07:14:56,1,5.41,1,N,48,74,1,19.5,0,0.5,2.5,0,0.3,22.8
